GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B5O001
"G010","1960","Alabama","010",,"Alabama",3266740
"G020","1960","Alaska","020",,"Alaska",226167
"G040","1960","Arizona","040",,"Arizona",1302161
"G050","1960","Arkansas","050",,"Arkansas",1786272
"G060","1960","California","060",,"California",15717204
"G080","1960","Colorado","080",,"Colorado",1753947
"G090","1960","Connecticut","090",,"Connecticut",2535234
"G100","1960","Delaware","100",,"Delaware",446292
"G110","1960","District Of Columbia","110",,"District of Columbia",763956
"G120","1960","Florida","120",,"Florida",4951560
"G130","1960","Georgia","130",,"Georgia",3943116
"G150","1960","Hawaii","150",,"Hawaii",632772
"G160","1960","Idaho","160",,"Idaho",667191
"G170","1960","Illinois","170",,"Illinois",10081158
"G180","1960","Indiana","180",,"Indiana",4662498
"G190","1960","Iowa","190",,"Iowa",2757537
"G200","1960","Kansas","200",,"Kansas",2178611
"G210","1960","Kentucky","210",,"Kentucky",3038156
"G220","1960","Louisiana","220",,"Louisianna",3257022
"G230","1960","Maine","230",,"Maine",969265
"G240","1960","Maryland","240",,"Maryland",3100689
"G250","1960","Massachusetts","250",,"Massachusetts",5148578
"G260","1960","Michigan","260",,"Michigan",7823194
"G270","1960","Minnesota","270",,"Minnesota",3413864
"G280","1960","Mississippi","280",,"Mississippi",2178141
"G290","1960","Missouri","290",,"Missouri",4319813
"G300","1960","Montana","300",,"Montana",674767
"G310","1960","Nebraska","310",,"Nebraska",1411330
"G320","1960","Nevada","320",,"Nevada",285278
"G330","1960","New Hampshire","330",,"New Hampshire",606921
"G340","1960","New Jersey","340",,"New Jersey",6066782
"G350","1960","New Mexico","350",,"New Mexico",951023
"G360","1960","New York","360",,"New York",16782304
"G370","1960","North Carolina","370",,"North Carolina",4556155
"G380","1960","North Dakota","380",,"North Dakota",632446
"G390","1960","Ohio","390",,"Ohio",9706398
"G400","1960","Oklahoma","400",,"Oklahoma",2328284
"G410","1960","Oregon","410",,"Oregon",1768687
"G420","1960","Pennsylvania","420",,"Pennsylvania",11319366
"G440","1960","Rhode Island","440",,"Rhode Island",859488
"G450","1960","South Carolina","450",,"South Carolina",2382594
"G460","1960","South Dakota","460",,"South Dakota",680514
"G470","1960","Tennessee","470",,"Tennessee",3567089
"G480","1960","Texas","480",,"Texas",9579678
"G490","1960","Utah","490",,"Utah",890627
"G500","1960","Vermont","500",,"Vermont",389881
"G510","1960","Virginia","510",,"Virginia",3966949
"G530","1960","Washington","530",,"Washington",2853214
"G540","1960","West Virginia","540",,"West Virginia",1860421
"G550","1960","Wisconsin","550",,"Wisconsin",3951777
"G560","1960","Wyoming","560",,"Wyoming",330066
