"year","wildlife_rest_2019_dollars","wildlife_rest_real_dollars"
1939,7805663.83647799,890000
1940,12278572.327044,1400000
1941,20171940.2515723,2300000
1942,22369804.6981132,2550600
1943,9998266.03773585,1140000
1944,8060005.6918239,919000
1945,7152268.38050314,815500
1946,7867056.69811321,897000
1947,20084236.163522,2290000
1948,72783623.0197484,8298772
1949,94857408.8798742,10815620
1950,87251508.6447484,9948397
1951,76947330.7478931,8773517
1952,151649410.530472,17291031
1953,88801318.8142767,10125106
1954,104235457.918145,11884903
1955,86798981.8616352,9896800
1956,126293834.17,14399994
1957,143448806.415094,16356000
1958,149658255.849057,17064000
1959,144624041.194969,16490000
1960,132105712.120871,15282273
1961,121529269.673605,14209298
1962,120185743.234364,14220666
1963,113921554.270468,13646573
1964,137181925.99262,16643077
1965,135543758.129244,16705003
1966,151275661.099415,19205998
1967,180126377.794709,23502998
1968,193231437.014854,26290000
1969,211100306.092937,30289999
1970,208378086.441058,31645001
1971,194276479.650362,30769999
1972,209078402.229077,34197959
1973,234551117.683407,40734471
1974,243817821.027894,47024845
1975,252073940.527913,53062334
1976,261285327.034231,58161084
1977,353417463.557781,83784166
1978,244745924.157606,62449166
1979,287478122.182944,81608134
1980,274097842.131257,88352400
1981,232860912.274197,82817384
1982,307213320.453963,115960201
1983,272541070.965956,106177599
1984,215879375.273366,87720002
1985,186199847.212815,78342718
1986,248159614.595301,106393791
1987,240450225.020191,106866279
1988,234999813.14439,108702836
1989,242763871.400815,117714668
1990,226850752.286085,115936168
1991,292329233.132443,155727168
1992,271446592.791602,148982500
1993,274721628.736372,155230500
1994,310710687.358856,180143773
1995,350202309.34129,208736347
1996,326361215.215819,200227935
1997,261205758.640515,164000240
1998,240181025.760812,153140516
1999,251028414.338272,163558948
2000,283658896.511948,191060610
2001,291547246.849572,201923730
2002,265192499.535721,186583677
2003,293376988.464903,211099457
2004,272642816.283831,201432388
2005,304853333.680414,232871459
2006,292615978.22718,230734330
2007,325093970.992233,263656617
2008,363689988.88039,306282387
2009,396550574.466981,332768639
2010,548112504.442315,467496495
2011,432009782.397138,380102098
2012,408894395.267355,367208849
2013,567170949.973806,516810707
2014,812707352.946304,752558740
2015,862423933.432191,799543139
2016,732294806.726754,687466861
2017,804599550.552408,771435107
2018,802681494.983474,788394137
2019,666183661,666183661
2020,584638717.261908,595233599
