"year","key","total"
1939,"wildlife_rest_2019_dollars",7805663.83647799
1940,"wildlife_rest_2019_dollars",12278572.327044
1941,"wildlife_rest_2019_dollars",20171940.2515723
1942,"wildlife_rest_2019_dollars",22369804.6981132
1943,"wildlife_rest_2019_dollars",9998266.03773585
1944,"wildlife_rest_2019_dollars",8060005.6918239
1945,"wildlife_rest_2019_dollars",7152268.38050314
1946,"wildlife_rest_2019_dollars",7867056.69811321
1947,"wildlife_rest_2019_dollars",20084236.163522
1948,"wildlife_rest_2019_dollars",72783623.0197484
1949,"wildlife_rest_2019_dollars",94857408.8798742
1950,"wildlife_rest_2019_dollars",87251508.6447484
1951,"wildlife_rest_2019_dollars",76947330.7478931
1952,"wildlife_rest_2019_dollars",151649410.530472
1953,"wildlife_rest_2019_dollars",88801318.8142767
1954,"wildlife_rest_2019_dollars",104235457.918145
1955,"wildlife_rest_2019_dollars",86798981.8616352
1956,"wildlife_rest_2019_dollars",126293834.17
1957,"wildlife_rest_2019_dollars",143448806.415094
1958,"wildlife_rest_2019_dollars",149658255.849057
1959,"wildlife_rest_2019_dollars",144624041.194969
1960,"wildlife_rest_2019_dollars",132105712.120871
1961,"wildlife_rest_2019_dollars",121529269.673605
1962,"wildlife_rest_2019_dollars",120185743.234364
1963,"wildlife_rest_2019_dollars",113921554.270468
1964,"wildlife_rest_2019_dollars",137181925.99262
1965,"wildlife_rest_2019_dollars",135543758.129244
1966,"wildlife_rest_2019_dollars",151275661.099415
1967,"wildlife_rest_2019_dollars",180126377.794709
1968,"wildlife_rest_2019_dollars",193231437.014854
1969,"wildlife_rest_2019_dollars",211100306.092937
1970,"wildlife_rest_2019_dollars",208378086.441058
1971,"wildlife_rest_2019_dollars",194276479.650362
1972,"wildlife_rest_2019_dollars",209078402.229077
1973,"wildlife_rest_2019_dollars",234551117.683407
1974,"wildlife_rest_2019_dollars",243817821.027894
1975,"wildlife_rest_2019_dollars",252073940.527913
1976,"wildlife_rest_2019_dollars",261285327.034231
1977,"wildlife_rest_2019_dollars",353417463.557781
1978,"wildlife_rest_2019_dollars",244745924.157606
1979,"wildlife_rest_2019_dollars",287478122.182944
1980,"wildlife_rest_2019_dollars",274097842.131257
1981,"wildlife_rest_2019_dollars",232860912.274197
1982,"wildlife_rest_2019_dollars",307213320.453963
1983,"wildlife_rest_2019_dollars",272541070.965956
1984,"wildlife_rest_2019_dollars",215879375.273366
1985,"wildlife_rest_2019_dollars",186199847.212815
1986,"wildlife_rest_2019_dollars",248159614.595301
1987,"wildlife_rest_2019_dollars",240450225.020191
1988,"wildlife_rest_2019_dollars",234999813.14439
1989,"wildlife_rest_2019_dollars",242763871.400815
1990,"wildlife_rest_2019_dollars",226850752.286085
1991,"wildlife_rest_2019_dollars",292329233.132443
1992,"wildlife_rest_2019_dollars",271446592.791602
1993,"wildlife_rest_2019_dollars",274721628.736372
1994,"wildlife_rest_2019_dollars",310710687.358856
1995,"wildlife_rest_2019_dollars",350202309.34129
1996,"wildlife_rest_2019_dollars",326361215.215819
1997,"wildlife_rest_2019_dollars",261205758.640515
1998,"wildlife_rest_2019_dollars",240181025.760812
1999,"wildlife_rest_2019_dollars",251028414.338272
2000,"wildlife_rest_2019_dollars",283658896.511948
2001,"wildlife_rest_2019_dollars",291547246.849572
2002,"wildlife_rest_2019_dollars",265192499.535721
2003,"wildlife_rest_2019_dollars",293376988.464903
2004,"wildlife_rest_2019_dollars",272642816.283831
2005,"wildlife_rest_2019_dollars",304853333.680414
2006,"wildlife_rest_2019_dollars",292615978.22718
2007,"wildlife_rest_2019_dollars",325093970.992233
2008,"wildlife_rest_2019_dollars",363689988.88039
2009,"wildlife_rest_2019_dollars",396550574.466981
2010,"wildlife_rest_2019_dollars",548112504.442315
2011,"wildlife_rest_2019_dollars",432009782.397138
2012,"wildlife_rest_2019_dollars",408894395.267355
2013,"wildlife_rest_2019_dollars",567170949.973806
2014,"wildlife_rest_2019_dollars",812707352.946304
2015,"wildlife_rest_2019_dollars",862423933.432191
2016,"wildlife_rest_2019_dollars",732294806.726754
2017,"wildlife_rest_2019_dollars",804599550.552408
2018,"wildlife_rest_2019_dollars",802681494.983474
2019,"wildlife_rest_2019_dollars",666183661
2020,"wildlife_rest_2019_dollars",584638717.261908
